"id","lang","lang_key","lang_value","created_at","updated_at"
"169","en","product_has_been_updated_successfully","Product has been updated successfully","31/10/2021 14:44:08","31/10/2021 14:44:08"
"170","en","product_not_found","Product not found","31/10/2021 14:45:19","31/10/2021 14:45:19"
"171","en","popular_categories","Popular Categories
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"172","en","todays_deal","Todays Deal
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"173","en","get_your_special_offers_coupons__more","Get your special offers, Coupons & More...
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"174","en","contact_us","Contact Us
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"175","en","mobile_apps","Mobile Apps
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"176","en","address","Address
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"177","en","email","Email
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"178","en","phone","Phone
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"179","en","subscribe","Subscribe
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"180","en","your_email_address","Your email address
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"181","en","forgot_password","forgot password
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"182","en","or","or
","31/10/2021 14:45:41","15/12/2024 10:53:08"
"183","en","play_store","Play Store
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"184","en","app_store","App Store
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"185","en","track_order","Track Order
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"186","en","help_line","Help Line
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"187","en","wishlist","Wishlist
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"188","en","search","Search
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"189","en","login","Login
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"190","en","registration","Registration
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"191","en","register","Register
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"192","en","talk_with_us","Talk With Us
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"193","en","you_have_to","You have to
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"194","en","as_a_customer_to_contact_us","as a customer to contact us
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"195","en","most_popular","Most popular
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"196","en","latest_first","Latest first
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"197","en","oldest_first","Oldest first
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"198","en","higher_price_first","Higher price first
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"199","en","lower_price_first","Lower price first
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"200","en","higher_rating_first","Higher rating first
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"201","en","lower_rating_first","Lower rating first
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"202","en","all_star","All Star
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"203","en","star","star
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"204","en","total","Total
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"205","en","products_found","products found
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"206","en","search_results_for","Search results for
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"207","en","no_product_found","No product found
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"208","en","min_price","min price
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"209","en","max_price","max price
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"210","en","go","Go
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"211","en","filters","Filters
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"212","en","unit_price","Unit price
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"213","en","discounted_price","Discounted price
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"214","en","total_price","Total Price
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"215","en","brands","Brands
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"216","en","order_code","Order Code
","31/10/2021 14:45:41","15/12/2024 10:53:08"
"217","en","track","Track
","31/10/2021 14:45:41","24/4/2022 06:24:39"
"218","en","all_categories","All categories
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"219","en","all_brands","All brands
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"220","en","all_offers","All offers
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"221","en","estimated_delivery_time","Estimated delivery time
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"222","en","days","days
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"223","en","view_other_products","View other products
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"224","en","add_to_cart","Add to Cart
","31/10/2021 14:45:41","31/10/2021 14:45:41"
"225","en","view_all","View All
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"226","en","a_verification_code_has_been_sent_to_your_email","A verification code has been sent to your email.
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"227","en","payment_failed","Payment failed!!
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"228","en","your_order_has_been_placed_but_failed_to_complete_the_payment_please_try_again_or_contact_our_support","Your order has been placed. But failed to complete the payment. Please try again or contact our support.
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"229","en","try_again","Try again
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"230","en","close","Close
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"231","en","addresses","Addresses
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"232","en","postal_code","Postal Code
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"233","en","country","Country
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"234","en","state","State
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"235","en","select_country","Select country
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"236","en","phone_number","Phone Number
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"237","en","select_a_city","Select a city
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"238","en","select_a_state","Select a state
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"239","en","this_field_is_required","This field is required.
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"240","en","this_field_is_required_a_valid_email","This field is required a valid email.
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"241","en","password_must_be_minimum_6_characters","Password must be minimum 6 characters.
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"242","en","password_and_confirm_password_should_match","Password and confirm password should match.
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"243","en","login_with","Login with
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"244","en","account","Account
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"245","en","email_address","Email address
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"246","en","signup","Signup
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"247","en","dont_have_an_account","Don't have an account
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"248","en","search_for_products_brands_and_more","Search for products, brands and more...
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"249","en","no","No
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"250","en","yes","Yes
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"251","en","items","item(s)
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"252","en","have_a_code","Have a code?
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"253","en","change","Change
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"254","en","apply","Apply
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"255","en","checkout","Checkout
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"256","en","please_select_a_cart_product","Please select a cart product
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"257","en","order_placed","Order Placed
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"258","en","confirmed","Confirmed
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"259","en","shipped","Shipped
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"260","en","delivered","Delivered
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"261","en","order_summary","Order Summary
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"262","en","shipping_address","Shipping Address
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"263","en","total_order_amount","Total Order Amount
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"264","en","payment_method","Payment Method
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"265","en","payment_status","Payment Status
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"266","en","billing_address","Billing Address
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"267","en","order_details","Order Details
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"268","en","quantity","Quantity
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"269","en","unit_tax","Unit tax
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"270","en","sub_total","Sub Total
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"271","en","shipping_charge","Shipping Charge
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"272","en","coupon_discount","Coupon discount
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"273","en","off","OFF
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"274","en","out_of","Out of
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"275","en","ratings","Ratings
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"276","en","product_reviews","Product Reviews
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"277","en","sort","Sort
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"278","en","no_reviews_found_for_this_product","No reviews found for this product
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"279","en","purchase_history","Purchase History
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"280","en","manage_profile","Manage Profile
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"281","en","my_wallet","My Wallet
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"282","en","payment_options","Payment Options
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"283","en","recharge_amount","Recharge Amount
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"284","en","recharge_wallet","Recharge Wallet
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"285","en","please_select_a_payment_method","Please select a payment method
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"286","en","please_input_recharge_amount","Please input recharge amount
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"287","en","amount","Amount
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"288","en","forgot","FORGOT
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"289","en","password","Password
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"290","en","old_password","Old Password
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"291","en","enter_your_email_address_to_recover_your_password","Enter your email address to recover your password
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"292","en","send_password_reset_code","Send Password Reset Code
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"293","en","back_to","Back to
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"294","en","reset","RESET
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"295","en","code","Code
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"296","en","enter_your_email_address_code__new_password","Enter your email address, Code & New Password
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"297","en","confirm_password","Confirm Password
","31/10/2021 14:45:42","31/10/2021 14:45:42"
"298","en","reset_password","Reset Password
","31/10/2021 14:45:43","31/10/2021 14:45:43"
"299","en","welcome_to","WELCOME TO
","31/10/2021 14:45:43","31/10/2021 14:45:43"
"300","en","full_name","Full Name
","31/10/2021 14:45:43","31/10/2021 14:45:43"
"301","en","phone_number_must_be_valid","Phone number must be valid.
","31/10/2021 14:45:43","31/10/2021 14:45:43"
"302","en","by_signing_up_you_agree_to_our","By signing up you agree to our
","31/10/2021 14:45:43","31/10/2021 14:45:43"
"303","en","terms_and_conditions","terms and conditions
","31/10/2021 14:45:43","31/10/2021 14:45:43"
"304","en","create_account","Create Account
","31/10/2021 14:45:43","31/10/2021 14:45:43"
